1over,2over,3over,4over,5over,6over,7over,8over,9over,10over,11over,12over,13over,14over,15over,16over,17over,18over,19over,20over,result,21over,22over,23over,24over,25over,26over,27over,28over,29over,30over,31over,32over,33over,34over,35over,36over,37over,38over,39over,40over,year
6/0,7/1,18/1,31/1,42/1,57/1,59/1,63/1,67/1,71/2,80/3,86/3,92/3,102/4,111/4,125/4,135/4,145/4,152/4,163/4,chased,6/0,14/0,20/0,27/0,39/1,48/1,58/1,71/2,75/2,79/3,82/3,96/3,108/3,112/5,117/5,133/6,145/6,154/6,157/7,164/9,2024
4/0,10/1,22/1,40/1,43/1,61/1,69/1,77/1,84/1,86/2,96/2,101/3,104/3,113/4,117/5,126/5,129/5,144/5,157/5,168/6,chased,7/1,10/1,18/1,37/1,41/2,41/2,48/2,60/2,64/2,68/3,73/3,80/4,87/4,99/4,103/5,106/5,122/6,140/6,153/7,171/7,2024
5/0,11/0,23/0,44/1,56/2,74/2,84/2,89/3,95/3,103/3,122/3,136/3,153/3,167/3,179/3,203/3,211/3,214/4,236/4,250/4,defend,12/0,18/2,34/2,54/2,65/2,66/2,72/3,76/3,85/3,91/3,103/3,121/3,128/3,142/4,150/5,155/6,166/7,180/7,191/8,206/8,2024
10/0,13/1,15/1,23/1,40/2,42/2,46/3,48/4,52/4,70/4,75/5,80/5,89/5,96/5,107/5,117/6,121/7,125/8,142/8,145/9,chased,5/0,17/0,27/0,38/0,52/0,76/0,82/1,87/1,94/1,99/1,102/1,108/1,119/1,126/1,136/1,149/1,149/1,149/1,149/1,149/1,2024
3/1,16/1,23/1,30/1,42/1,54/1,61/1,81/1,85/1,100/1,103/1,116/1,118/1,139/1,150/1,163/1,175/1,188/1,198/1,201/3,chased,4/0,13/0,20/2,24/4,35/4,50/4,58/4,76/4,105/4,117/4,127/5,138/5,142/5,165/5,175/5,191/5,195/5,202/5,202/5,202/5,2024
6/0,15/0,18/0,30/0,37/1,46/1,52/1,55/2,59/2,67/2,70/3,79/3,83/3,87/4,100/4,106/4,110/6,122/6,132/6,142/7,chased,6/0,26/0,36/0,43/1,48/1,57/1,61/1,65/2,79/2,83/2,86/2,93/2,98/2,106/2,117/3,120/3,144/3,144/3,144/3,144/3,2024
9/0,17/0,27/1,31/1,38/1,53/1,63/2,77/2,89/2,104/2,125/2,141/2,152/2,170/3,177/4,188/4,213/4,221/5,249/6,266/7,defend,6/1,14/1,29/1,39/1,73/1,94/2,114/2,127/2,139/3,139/5,151/5,161/5,174/6,192/7,197/8,208/8,212/9,226/10,226/10,226/10,2024
9/0,23/0,31/0,41/0,58/0,66/1,68/1,72/1,78/1,86/1,90/2,98/2,105/2,114/3,121/3,133/3,142/4,148/4,164/4,176/6,defend,4/0,11/1,12/1,22/1,29/1,46/1,49/1,61/1,71/1,73/3,77/3,79/4,97/4,104/4,114/4,132/4,144/5,155/6,163/7,170/9,2024
0/2,5/3,21/3,30/3,39/3,55/3,71/3,78/3,84/5,86/6,86/6,93/6,94/6,99/6,103/6,105/7,108/7,121/7,139/7,153/8,chased,3/1,9/1,14/1,25/1,35/2,53/2,56/3,59/3,64/3,72/4,77/4,90/4,93/4,105/4,115/4,119/4,126/6,137/6,146/6,157/8,2024
7/0,8/1,18/1,27/2,38/2,47/4,49/6,55/6,61/6,66/6,85/6,94/6,97/7,99/8,100/10,100/10,100/10,100/10,100/10,100/10,chased,7/0,18/0,42/0,46/0,56/0,64/1,84/1,91/2,98/3,101/4,101/4,101/4,101/4,101/4,101/4,101/4,101/4,101/4,101/4,101/4,2024
4/0,10/0,14/1,24/1,36/2,36/3,41/3,54/3,62/4,67/4,76/4,80/4,85/4,95/4,98/4,106/4,113/5,120/6,140/6,153/8,chased,9/0,24/0,34/0,50/0,64/1,68/1,79/1,83/2,86/3,88/3,91/3,92/5,98/5,103/6,110/6,120/7,133/7,139/7,143/8,154/8,2024
3/0,20/0,33/0,40/1,56/1,57/2,69/2,71/3,81/3,85/3,96/3,101/3,120/3,123/3,128/3,132/3,141/3,158/4,174/5,187/6,chased,11/0,26/1,35/1,50/1,70/1,72/2,76/2,87/2,102/2,111/3,113/3,118/3,123/3,131/4,137/4,147/4,156/6,161/6,185/6,189/6,2024
6/0,20/0,25/0,33/0,43/0,55/0,58/1,61/1,68/1,78/1,80/1,93/1,100/1,109/1,120/1,140/1,147/1,150/3,164/5,176/5,chased,1/0,5/1,13/1,23/1,30/1,48/1,52/1,62/1,70/1,75/2,81/2,104/3,111/3,124/3,127/3,127/3,127/3,127/3,127/3,127/3,2024
11/0,19/0,29/0,33/0,39/0,51/0,53/1,59/1,72/1,82/2,88/2,95/2,103/2,107/2,112/2,130/2,142/3,152/3,168/4,173/5,chased,7/0,21/0,33/0,50/0,56/0,72/0,80/0,84/0,106/0,113/0,116/1,129/1,144/2,159/2,169/3,171/5,176/5,176/5,176/5,176/5,2024
2/2,6/2,16/2,27/2,48/2,52/2,58/3,60/4,63/4,70/4,76/5,84/5,93/5,108/5,111/6,117/6,125/6,128/7,143/7,156/7,chased,2/1,11/1,22/2,26/2,37/2,43/2,47/2,54/2,64/3,67/3,79/3,92/3,99/3,106/3,108/4,118/5,125/6,135/6,146/7,159/8,2024
13/0,24/0,27/1,30/1,48/1,49/1,66/1,71/1,81/1,94/1,104/1,107/2,117/2,132/2,139/3,143/4,157/4,162/4,187/4,205/6,defend,5/0,10/1,17/1,24/1,33/1,46/2,57/2,70/2,75/3,85/3,100/3,112/3,114/3,120/4,129/5,136/5,143/5,147/5,162/5,173/5,2024
9/0,13/0,29/0,35/0,40/1,42/3,51/3,60/3,67/3,78/3,84/3,86/4,94/5,103/6,104/6,110/6,122/6,129/6,132/8,152/8,defend,11/0,14/1,24/1,24/3,28/4,28/5,31/5,38/5,46/5,50/5,57/5,65/5,68/5,76/5,82/5,95/6,105/6,108/7,120/8,126/8,2024
6/0,12/0,16/0,19/1,33/1,40/2,49/2,57/4,59/5,61/6,64/6,65/7,69/7,74/8,80/8,89/8,94/8,105/8,110/9,110/10,chased,4/0,11/0,23/0,41/0,49/0,62/1,72/1,81/1,90/1,98/1,108/1,113/1,113/1,113/1,113/1,113/1,113/1,113/1,113/1,113/1,2024
3/0,12/0,21/1,28/1,32/1,42/2,48/2,55/2,57/4,64/5,73/5,76/7,80/7,88/7,90/7,106/7,114/7,118/7,137/7,148/7,chased,12/0,14/1,22/1,23/1,31/1,38/1,46/1,50/1,52/3,55/3,63/3,69/4,75/4,80/4,89/5,99/5,118/5,129/5,137/5,149/5,2024
9/1,15/1,16/1,23/1,32/2,35/2,39/2,41/3,42/4,49/4,52/4,67/4,75/4,82/6,83/6,89/6,93/6,104/6,126/6,134/8,chased,5/1,9/1,13/1,16/2,23/2,34/2,51/2,57/2,68/2,68/3,76/3,83/3,87/3,90/3,94/3,100/3,112/3,117/4,135/4,135/4,2024
1/2,5/2,26/2,28/3,31/3,39/3,44/3,52/3,64/3,66/3,78/3,84/5,85/5,92/5,94/7,96/7,105/7,110/8,113/8,137/8,defend,9/0,10/0,14/0,18/0,23/0,27/1,44/1,47/2,53/2,57/3,71/3,78/4,79/4,88/4,92/5,96/6,97/8,103/9,107/10,107/10,2024
