1over,2over,3over,4over,5over,6over,7over,8over,9over,10over,11over,12over,13over,14over,15over,16over,17over,18over,19over,20over,21over,22over,23over,24over,25over,26over,27over,28over,29over,30over,31over,32over,33over,34over,35over,36over,37over,38over,39over,40over,result,year,match_number
7/0,23/1,29/1,33/1,42/1,59/1,64/1,75/1,84/1,88/1,98/2,106/2,124/2,132/2,151/2,155/3,162/3,179/3,191/4,207/4,11/0,12/0,28/0,43/0,48/0,54/1,61/2,74/2,85/2,98/2,111/2,118/3,126/4,130/5,139/5,151/5,154/6,156/8,165/9,172/10,defend,2017,1082591
11/0,19/0,28/0,41/0,48/1,61/1,63/3,66/3,76/3,82/3,92/3,95/4,106/4,111/5,120/5,127/6,137/6,145/6,154/7,184/8,8/0,23/0,35/0,39/1,43/1,59/1,63/1,73/1,82/1,93/1,97/2,105/2,114/2,129/2,139/2,148/3,158/3,165/3,172/3,187/3,chased,2017,1082592
8/0,16/0,22/0,29/1,40/1,52/1,64/1,72/1,76/2,91/2,95/3,102/3,109/3,116/3,125/3,130/3,141/3,153/3,169/3,183/4,7/0,20/0,37/0,46/0,53/0,73/0,96/0,103/0,109/0,116/0,131/0,147/0,153/0,162/0,184/0,184/0,184/0,184/0,184/0,184/0,chased,2017,1082593
1/1,3/1,7/1,20/1,32/1,35/1,42/2,48/2,53/3,63/3,71/3,75/4,84/4,98/4,108/4,123/4,128/4,133/5,147/5,163/6,6/0,19/0,27/1,38/1,48/1,56/2,59/2,62/2,66/2,73/2,85/3,88/4,103/4,116/4,128/4,143/4,145/4,157/4,164/4,164/4,chased,2017,1082594
10/0,19/0,26/0,30/1,32/1,41/2,45/2,53/2,55/3,61/3,66/3,74/3,98/3,114/3,121/4,134/4,142/6,144/6,150/6,157/8,9/0,13/0,21/0,32/0,37/1,43/2,53/2,65/3,70/3,79/3,85/4,94/4,107/5,112/5,113/6,121/6,126/7,137/7,139/7,142/9,defend,2017,1082595
3/0,13/0,25/0,32/0,35/1,40/2,46/3,54/3,57/4,60/4,68/4,75/4,87/4,96/4,102/4,110/4,113/5,117/7,130/7,135/7,3/0,11/0,32/0,40/1,48/1,59/1,67/1,72/1,76/1,89/1,101/1,109/1,120/1,126/1,131/1,140/1,140/1,140/1,140/1,140/1,chased,2017,1082596
10/0,19/0,34/0,44/0,48/2,59/2,65/2,67/3,72/3,79/3,82/3,89/4,98/4,107/4,117/4,131/4,136/5,144/5,155/6,178/7,9/0,15/0,25/0,37/0,44/0,49/0,58/0,71/1,72/2,74/3,83/3,97/3,105/4,108/4,115/4,119/4,130/5,149/5,168/6,180/6,chased,2017,1082597
2/1,7/1,18/1,19/2,22/3,23/3,31/3,34/3,47/3,53/3,59/3,65/3,68/3,70/4,71/4,80/4,96/4,115/4,134/4,148/4,6/0,14/0,26/0,43/0,50/0,62/1,67/1,78/1,85/2,97/2,107/2,119/2,127/2,143/2,150/2,150/2,150/2,150/2,150/2,150/2,chased,2017,1082598
2/0,13/1,29/1,39/1,47/1,62/1,66/1,71/1,76/2,81/2,88/2,104/2,108/2,112/2,123/2,129/3,141/3,160/3,182/4,205/4,10/0,17/0,24/1,31/1,38/2,50/3,52/4,55/5,58/5,68/5,76/5,79/6,94/6,100/7,106/8,108/9,108/10,108/10,108/10,108/10,defend,2017,1082599
2/0,5/0,13/0,17/0,26/0,34/0,49/0,52/0,62/0,75/0,84/1,93/1,105/1,110/2,118/3,126/4,140/4,147/5,153/6,158/8,6/0,21/0,28/0,39/1,42/2,61/2,64/2,73/2,76/2,85/3,90/3,97/3,108/3,112/4,121/4,134/4,149/4,155/6,159/6,159/6,chased,2017,1082600
10/0,21/0,30/0,45/0,53/0,57/1,62/1,67/2,78/2,95/2,97/2,98/3,104/4,119/4,134/4,138/4,145/4,156/7,166/7,170/9,5/0,15/0,31/0,42/0,60/0,76/1,89/1,99/1,107/1,116/2,123/2,128/2,136/2,148/2,157/2,164/2,171/2,171/2,171/2,171/2,chased,2017,1082601
6/0,7/0,24/0,28/0,34/0,41/0,50/0,53/0,62/0,66/1,71/1,76/1,85/1,104/1,110/1,114/2,119/3,127/4,132/5,142/5,4/0,7/1,8/4,10/4,18/4,21/4,31/4,33/5,37/5,48/5,54/5,65/5,70/5,80/5,91/5,110/5,120/5,133/6,145/6,145/6,chased,2017,1082602
6/1,15/1,23/1,35/1,60/1,64/2,73/2,76/2,87/2,92/3,101/3,106/3,110/4,120/4,126/5,135/5,149/5,155/5,167/5,171/8,16/0,27/0,33/0,44/0,46/0,61/0,71/0,91/0,94/1,96/1,102/1,107/2,112/3,123/3,133/3,146/3,151/3,172/3,172/3,172/3,chased,2017,1082603
3/0,9/0,14/1,20/1,33/1,40/2,47/2,53/2,67/2,75/2,87/2,94/2,108/2,117/2,124/3,136/3,150/3,154/4,163/5,172/6,5/0,10/0,19/0,32/0,39/0,45/0,47/1,48/1,53/1,59/2,70/3,80/3,95/3,98/4,113/5,116/5,129/5,132/6,143/6,155/6,defend,2017,1082604
8/0,17/0,22/0,27/0,41/0,49/0,55/1,64/2,71/2,83/2,90/2,97/3,103/4,110/4,120/4,131/5,144/5,153/6,169/6,188/6,2/0,6/1,17/1,26/2,33/3,40/3,47/3,49/3,53/3,64/4,72/5,81/5,85/5,90/6,103/6,112/6,124/6,130/6,134/7,137/9,defend,2017,1082605
3/1,15/1,21/1,24/1,31/1,46/1,49/1,58/1,67/1,75/1,81/1,83/2,93/2,105/3,120/3,126/3,145/3,154/4,166/4,176/4,6/1,14/1,25/1,32/1,47/1,56/1,63/1,70/1,85/1,89/2,92/2,101/3,106/3,119/3,132/3,141/3,154/3,160/3,169/4,177/4,chased,2017,1082606
