1over,2over,3over,4over,5over,6over,7over,8over,9over,10over,11over,12over,13over,14over,15over,16over,17over,18over,19over,20over,result,21over,22over,23over,24over,25over,26over,27over,28over,29over,30over,31over,32over,33over,34over,35over,36over,37over,38over,39over,40over,year
7/0,17/0,23/2,29/2,33/3,49/3,54/3,70/3,79/3,87/3,92/3,105/3,126/3,135/4,142/5,155/6,167/7,175/8,192/9,201/9,chased,9/0,21/1,33/1,51/1,67/1,76/1,89/1,99/1,111/2,126/2,140/2,162/2,164/4,170/4,185/4,203/4,203/4,203/4,203/4,203/4,2026
10/0,14/0,31/0,57/0,68/0,78/1,94/1,101/1,110/2,120/2,131/2,136/2,144/2,150/3,167/3,177/3,191/3,199/3,209/4,220/4,chased,6/0,15/0,34/0,49/0,64/0,80/0,88/0,96/0,110/0,122/0,135/0,152/1,163/1,175/1,183/2,193/3,201/3,212/3,220/4,224/4,2026
7/0,14/1,19/2,30/3,36/3,41/4,51/4,57/6,62/6,70/6,74/7,79/7,82/8,86/8,93/8,94/9,99/9,108/9,118/9,127/10,chased,18/0,24/0,34/0,40/0,55/0,74/0,77/1,91/1,100/2,106/2,115/2,127/2,128/2,128/2,128/2,128/2,128/2,128/2,128/2,128/2,2026
4/1,5/1,9/1,25/1,40/1,60/1,65/1,74/1,96/1,107/2,110/3,124/3,131/4,141/4,145/5,151/6,155/6,165/6,169/7,174/8,chased,12/0,17/0,37/0,58/0,75/0,80/0,86/0,91/0,96/1,104/1,115/1,119/2,127/2,138/2,157/2,167/3,177/3,177/3,177/3,177/3,2025
4/1,17/1,21/2,30/2,44/3,52/3,59/3,66/3,76/3,82/3,91/4,92/4,96/6,100/6,110/6,118/6,120/7,128/8,141/9,155/9,chased,5/0,12/1,24/1,35/1,48/1,62/1,74/1,79/2,92/2,96/3,100/3,108/4,112/4,116/4,119/5,125/5,135/5,150/5,152/6,158/6,2025
7/0,12/0,33/0,40/0,50/1,64/1,89/1,98/1,108/1,117/1,125/1,133/2,161/2,162/3,170/4,176/4,178/6,188/6,194/8,209/8,chased,6/2,8/3,17/3,32/3,45/3,58/4,66/5,72/5,83/5,88/5,95/5,101/5,116/6,133/6,148/6,168/6,171/7,188/8,204/9,211/9,2025
9/0,14/0,26/0,34/1,41/1,54/1,59/1,67/2,71/3,76/4,82/5,84/5,92/5,103/5,110/6,112/6,123/6,131/6,138/8,151/9,chased,2/0,7/0,20/0,29/0,35/0,40/0,44/1,55/1,61/1,70/1,80/2,90/2,103/2,109/2,118/2,125/2,135/2,153/2,153/2,153/2,2025
6/0,15/0,27/2,45/2,54/2,62/2,71/2,80/3,89/3,96/3,103/3,110/4,122/4,128/4,143/5,156/6,169/7,180/8,183/9,190/9,chased,3/0,14/1,31/1,49/1,66/1,77/1,96/1,111/1,120/2,129/2,138/3,149/3,154/4,163/4,176/5,189/5,193/5,193/5,193/5,193/5,2025
11/1,20/1,29/3,37/3,50/4,58/4,74/4,90/4,98/4,105/4,115/5,119/6,121/6,123/7,140/7,149/8,156/8,161/8,163/10,163/10,chased,2/0,11/0,26/0,39/0,48/0,52/0,66/0,74/0,81/0,96/2,114/2,119/3,128/3,142/3,150/3,166/3,166/3,166/3,166/3,166/3,2025
1/1,15/2,25/2,33/3,36/3,41/4,45/5,59/5,65/5,69/5,80/7,84/7,90/8,94/8,101/9,110/9,116/10,116/10,116/10,116/10,chased,1/0,15/0,28/0,42/0,44/0,55/1,62/1,70/1,73/1,89/1,97/2,105/2,121/2,121/2,121/2,121/2,121/2,121/2,121/2,121/2,2025
3/1,7/1,20/1,33/2,36/3,39/3,49/3,58/3,61/3,76/3,88/3,91/4,101/4,108/4,117/4,125/5,136/5,156/5,164/5,171/7,chased,12/0,20/0,27/1,37/1,47/1,62/1,78/1,90/1,99/1,110/1,116/2,120/2,127/2,143/2,155/2,171/2,177/2,177/2,177/2,177/2,2025
6/0,12/1,15/2,27/2,35/3,38/3,48/4,49/4,66/4,73/4,80/4,91/4,94/5,103/5,105/6,119/6,129/6,149/6,153/7,169/8,chased,5/0,11/0,15/0,26/0,33/1,42/1,52/1,57/1,75/1,82/1,88/1,105/1,111/2,122/2,134/2,141/2,150/2,170/2,170/2,170/2,2025
9/1,20/1,24/1,37/1,38/2,45/2,49/2,52/3,58/3,64/3,73/3,77/3,89/3,101/4,105/4,108/5,120/6,132/6,135/8,152/8,chased,4/0,8/0,15/1,17/2,28/2,48/2,56/2,64/2,76/2,82/2,90/2,98/2,106/2,112/3,130/3,141/3,153/3,153/3,153/3,153/3,2025
7/0,23/0,53/0,62/1,64/1,64/2,74/3,84/3,89/3,91/4,94/4,102/4,105/5,112/5,117/6,121/6,125/6,127/7,144/7,163/7,chased,1/0,9/1,21/2,30/2,31/3,39/3,42/3,52/3,60/4,66/4,67/4,80/4,94/4,99/4,121/4,134/4,146/4,169/4,169/4,169/4,2025
6/0,10/0,16/0,16/1,18/2,31/2,43/2,50/2,56/2,61/3,65/4,69/4,70/5,71/6,74/7,77/8,78/8,84/9,90/9,103/9,chased,7/0,19/0,34/0,46/0,53/1,71/1,85/1,87/2,92/2,98/2,107/2,107/2,107/2,107/2,107/2,107/2,107/2,107/2,107/2,107/2,2025
6/0,19/0,26/0,35/0,44/0,54/0,66/0,81/0,88/0,103/0,109/0,120/0,122/1,127/3,135/3,139/3,147/4,157/4,169/4,180/6,chased,6/0,8/0,28/0,37/0,49/0,61/0,67/1,78/1,90/1,114/1,123/1,125/2,140/2,146/2,154/2,157/3,163/3,172/3,175/4,186/4,2025
14/0,30/0,53/0,66/1,74/1,89/1,92/2,99/2,116/2,120/2,129/2,149/2,160/2,168/3,177/4,187/4,205/4,210/6,218/6,245/6,chased,9/0,28/0,40/0,60/0,76/0,83/0,93/0,109/0,123/0,143/0,154/0,165/0,175/1,186/1,205/1,218/1,224/2,240/2,247/2,247/2,2025
