1over,2over,3over,4over,5over,6over,7over,8over,9over,10over,11over,12over,13over,14over,15over,16over,17over,18over,19over,20over,result,21over,22over,23over,24over,25over,26over,27over,28over,29over,30over,31over,32over,33over,34over,35over,36over,37over,38over,39over,40over,year
6/0,12/0,25/0,37/0,44/0,64/0,72/0,83/0,87/1,94/2,97/3,104/3,113/3,119/3,129/3,139/4,154/4,166/4,177/5,199/6,defend,7/0,17/0,27/1,33/2,44/2,48/2,54/3,59/4,65/5,72/5,79/5,85/6,93/6,97/7,101/8,107/9,115/9,118/9,123/9,130/10,2026
3/1,14/1,31/1,44/2,54/2,60/2,70/2,81/2,87/3,98/3,104/4,107/4,108/4,111/5,125/5,137/5,143/6,156/6,168/7,181/7,defend,8/0,20/0,27/0,43/0,56/0,75/0,79/0,83/1,89/2,95/3,102/3,108/3,113/3,118/3,124/3,126/4,136/4,147/4,152/7,167/7,2026
7/0,20/0,28/0,49/0,58/0,63/0,78/0,82/0,92/0,101/0,105/0,125/0,131/1,137/1,152/2,160/2,171/2,186/3,197/3,214/4,chased,11/0,21/0,33/0,48/0,55/0,62/0,70/0,75/0,83/1,96/2,105/2,118/2,126/2,130/3,141/4,159/4,175/4,194/5,214/5,218/5,2026
3/0,15/0,22/0,28/0,41/0,48/1,59/1,68/1,73/2,77/3,88/3,104/4,114/4,119/4,130/5,134/6,139/6,147/6,160/6,171/8,chased,4/0,15/0,21/1,42/1,46/1,49/1,60/1,64/2,72/3,83/3,96/3,106/3,113/3,126/3,133/4,144/4,161/4,169/5,175/5,175/5,2026
11/0,21/1,23/1,27/2,30/2,45/2,50/2,57/2,65/2,78/2,83/2,101/2,111/2,117/3,123/5,129/6,138/6,146/6,164/6,174/8,defend,17/1,21/2,25/2,27/2,35/2,37/3,41/3,47/3,51/4,61/5,72/5,79/5,93/5,100/5,105/6,109/6,119/6,129/7,130/8,134/8,2026
5/1,15/1,27/1,28/2,36/2,42/2,52/2,56/3,65/4,69/4,78/4,93/4,100/4,104/4,108/5,117/6,119/6,119/7,125/8,128/9,chased,2/0,8/0,11/2,11/2,18/2,27/2,38/2,39/3,44/3,50/3,55/3,58/3,76/3,82/3,88/5,93/5,98/5,106/5,120/5,131/6,2026
15/0,24/0,33/0,50/0,59/0,74/1,85/1,90/2,98/2,106/3,126/3,130/4,144/4,158/4,164/4,168/4,173/5,203/5,214/5,225/5,chased,6/0,22/0,37/0,52/0,71/0,83/0,94/0,104/0,114/1,123/2,135/2,144/2,148/2,167/3,188/3,192/4,207/4,219/4,227/4,227/4,2026
5/0,17/0,31/0,43/0,50/1,60/1,68/1,71/1,78/2,88/2,91/3,93/5,98/5,104/5,109/5,130/5,140/5,152/5,172/5,183/5,chased,9/0,12/0,24/0,38/0,44/1,58/1,62/2,70/2,76/2,82/2,86/2,108/2,113/2,125/2,141/2,154/2,168/2,182/2,189/2,189/2,2026
13/0,24/0,28/1,33/2,41/2,55/2,62/3,70/3,83/3,86/3,92/3,98/3,117/3,129/3,140/3,156/3,174/3,181/4,191/5,197/6,chased,10/0,13/0,28/1,34/1,38/1,52/1,58/1,65/1,76/2,81/2,91/2,103/2,113/2,128/2,144/2,153/3,172/3,184/3,193/4,199/5,2026
26/0,32/0,48/0,67/0,86/0,97/1,123/1,134/1,144/2,156/3,164/3,173/4,185/5,185/5,185/5,185/5,185/5,185/5,185/5,185/5,defend,7/0,13/0,18/1,28/2,48/2,53/3,68/3,81/3,95/3,114/4,127/4,146/4,165/5,165/5,165/5,165/5,165/5,165/5,165/5,165/5,2026
2/0,5/1,10/1,15/2,20/2,35/2,45/2,54/2,58/2,66/3,77/3,79/4,89/4,94/4,98/5,111/5,121/6,131/6,136/7,156/7,chased,5/0,16/0,25/0,41/0,58/0,62/1,67/1,80/1,92/1,101/2,108/2,127/3,139/3,152/3,157/3,157/3,157/3,157/3,157/3,157/3,2026
9/0,15/1,18/2,26/2,37/2,47/2,55/2,58/2,70/2,73/4,77/4,82/4,85/4,103/4,108/4,119/4,123/6,135/6,153/6,166/8,chased,15/0,31/0,47/0,63/0,71/0,83/1,90/1,96/2,100/2,106/2,114/2,127/2,133/2,137/3,143/3,156/4,164/4,167/4,167/4,167/4,2026
10/0,11/0,19/1,28/1,44/1,52/2,59/2,69/3,72/3,81/4,84/4,94/5,113/5,120/5,128/6,136/7,150/7,153/8,166/8,182/8,chased,7/0,18/1,24/1,35/1,45/1,58/1,62/1,78/1,84/1,110/1,122/1,130/2,139/2,145/3,161/3,176/3,186/3,186/3,186/3,186/3,2026
10/0,19/0,26/1,32/1,34/4,51/4,56/4,70/4,77/4,86/4,92/4,101/4,109/4,116/4,119/5,131/5,137/8,145/9,145/10,145/10,chased,11/0,17/1,19/1,30/1,42/1,56/1,61/1,66/1,69/2,78/2,79/2,86/2,101/2,105/3,116/4,123/4,125/5,127/6,132/6,146/6,2026
1/0,5/1,22/1,30/1,32/2,36/2,45/2,51/3,58/4,68/4,82/4,83/4,92/4,94/5,95/7,112/7,126/8,133/8,137/9,139/10,chased,7/0,8/1,17/1,19/1,32/1,37/1,51/1,62/1,65/2,69/2,74/2,91/2,101/2,108/2,117/2,124/2,137/2,143/2,143/2,143/2,2025
11/0,21/0,27/0,43/0,58/0,65/0,88/1,96/1,107/1,110/1,115/1,123/1,133/1,138/1,150/1,158/2,172/3,183/3,203/3,216/3,defend,3/1,17/1,26/1,32/3,37/3,45/3,56/3,75/3,78/3,86/3,93/5,103/7,117/9,122/9,136/9,136/10,136/10,136/10,136/10,136/10,2025
17/0,19/0,29/0,39/0,55/0,63/1,69/1,80/1,83/2,96/2,109/2,118/2,131/2,142/2,149/3,160/3,181/3,198/3,220/3,234/3,chased,15/0,18/0,43/0,52/1,60/3,76/3,79/4,91/4,98/4,108/4,122/4,135/4,155/4,160/4,167/4,188/4,209/4,221/5,230/6,236/6,2025
13/0,16/0,18/1,32/1,43/1,60/1,65/1,73/2,81/2,95/2,102/2,117/2,128/2,144/2,153/3,158/4,169/4,180/5,198/5,219/6,defend,3/1,8/2,12/3,28/3,48/3,62/4,69/4,80/4,89/5,95/5,104/5,108/7,114/9,116/9,130/9,140/9,140/10,140/10,140/10,140/10,2025
3/0,14/1,29/1,40/1,62/1,73/1,76/1,86/1,102/1,115/1,128/1,137/1,153/1,163/3,173/3,188/3,203/4,214/4,229/5,243/5,defend,4/0,16/1,20/2,26/3,38/3,43/3,50/3,67/3,76/4,87/4,91/5,100/5,107/6,111/7,125/7,130/8,137/9,141/9,141/10,141/10,2025
6/0,13/1,19/1,25/2,34/2,44/2,53/2,57/2,70/2,90/2,106/2,117/2,125/2,141/2,150/2,153/3,166/3,178/4,190/5,201/6,defend,4/2,8/2,17/2,32/2,38/2,39/2,45/3,46/5,47/6,50/7,52/7,63/7,70/7,83/7,95/7,102/8,113/8,127/8,136/9,136/10,2025
5/0,16/0,21/0,36/0,47/1,62/1,65/1,78/1,81/2,92/2,102/2,107/3,123/3,127/3,130/4,138/5,154/5,168/5,185/6,202/6,defend,7/1,11/1,28/1,36/1,54/1,62/2,67/2,76/2,84/2,93/3,96/4,107/4,120/5,124/6,137/6,142/7,150/9,151/9,155/10,155/10,2025
10/0,21/0,28/0,39/0,51/0,61/1,66/2,73/2,77/2,79/3,90/3,95/4,101/4,108/4,125/4,128/5,140/5,149/5,162/5,175/7,defend,9/1,23/2,31/2,35/3,37/4,37/5,43/5,45/5,47/6,53/6,54/6,61/7,64/7,67/7,85/7,92/7,100/8,107/8,111/9,119/9,2025
3/0,5/1,12/2,33/2,44/2,69/2,84/2,91/3,95/3,106/3,116/3,119/3,128/3,139/4,144/5,161/5,177/5,201/5,216/6,227/7,defend,7/0,18/0,27/0,39/1,45/1,61/1,64/2,71/3,84/3,88/5,91/6,94/7,95/8,102/8,105/8,107/10,107/10,107/10,107/10,107/10,2025
4/0,11/1,15/1,22/2,29/2,41/2,46/2,55/2,60/2,63/3,66/3,69/3,73/4,81/4,89/4,92/5,94/6,102/7,115/7,128/7,chased,7/0,19/0,32/0,34/0,38/2,48/2,54/2,62/2,69/2,75/2,79/2,89/2,99/2,104/3,110/3,116/3,128/4,129/4,129/4,129/4,2025
2/0,8/0,9/1,15/1,17/1,27/1,36/2,46/2,59/2,67/3,72/3,78/3,87/3,100/3,108/4,111/5,121/6,131/6,136/8,147/8,chased,1/1,11/1,19/2,23/2,37/2,44/3,54/3,57/3,61/3,66/3,68/4,80/4,89/5,104/5,107/5,116/5,126/6,133/7,139/8,148/8,2025
9/0,15/0,29/0,37/0,59/0,79/0,89/0,91/1,100/1,110/1,124/1,136/1,155/1,162/2,167/3,183/4,193/4,199/5,214/5,228/5,defend,12/0,20/0,38/0,45/1,49/2,58/2,68/2,80/2,87/3,95/4,111/4,118/5,130/5,135/5,149/6,155/7,167/7,175/7,191/8,195/9,2025
6/0,9/0,18/0,27/0,36/0,48/0,51/1,54/1,64/1,78/1,91/1,105/1,109/1,121/2,126/2,134/3,144/3,148/4,155/5,168/5,chased,11/0,27/0,29/1,42/1,57/1,69/1,79/1,84/1,98/1,105/1,112/2,125/2,128/2,136/2,144/2,153/2,165/3,171/3,171/3,171/3,2025
5/0,15/1,21/3,21/4,26/4,35/5,44/5,45/6,46/6,62/6,67/7,76/7,86/7,94/7,96/7,103/8,120/8,122/8,128/8,129/10,chased,2/1,11/2,12/2,28/2,40/3,52/3,60/3,65/3,72/3,77/3,88/3,91/3,98/3,109/3,117/3,123/3,133/3,133/3,133/3,133/3,2025
7/0,8/2,18/2,29/3,37/3,45/4,57/4,66/4,74/5,78/5,81/5,87/5,93/5,96/5,115/5,126/5,131/6,131/8,140/9,142/10,defend,6/1,14/1,24/1,38/1,41/1,51/1,56/1,75/1,78/2,82/2,89/2,93/3,95/3,96/4,101/5,102/6,110/7,117/8,126/8,137/8,2025
2/0,10/0,14/0,19/0,30/1,39/1,43/1,53/2,58/2,70/2,72/3,85/3,100/3,109/3,116/3,128/3,136/3,154/3,165/3,185/3,chased,7/0,12/1,15/1,23/1,32/1,45/1,55/2,63/2,69/2,80/2,93/2,95/4,109/4,120/4,138/4,147/4,159/4,175/4,186/5,186/5,2025
2/0,14/0,31/0,42/0,51/1,67/1,73/1,78/1,89/1,95/2,104/2,112/3,119/3,125/3,134/3,140/3,144/4,161/4,170/5,178/7,defend,6/0,21/1,28/2,31/2,40/3,41/3,46/3,52/5,67/5,76/5,82/7,94/8,99/8,104/8,114/9,114/10,114/10,114/10,114/10,114/10,2025
