1over,2over,3over,4over,5over,6over,7over,8over,9over,10over,11over,12over,13over,14over,15over,16over,17over,18over,19over,20over,21over,22over,23over,24over,25over,26over,27over,28over,29over,30over,31over,32over,33over,34over,35over,36over,37over,38over,39over,40over,result,year,match_number
7/1,10/1,17/2,27/2,34/3,41/3,49/4,55/4,59/4,69/4,80/4,88/4,93/4,105/4,113/6,116/6,123/6,131/8,137/8,145/8,4/1,11/1,18/1,24/1,28/2,35/2,42/3,50/3,57/4,58/4,62/4,69/5,73/5,88/5,93/5,99/5,112/5,120/5,127/6,136/7,defend,2021,1252666
4/0,16/0,20/1,31/2,41/2,46/2,53/2,59/2,61/3,70/3,75/3,87/3,91/4,97/4,104/4,117/4,120/4,127/5,135/5,144/6,7/0,9/1,20/1,33/2,42/2,47/2,57/2,60/2,65/3,74/3,85/3,92/3,96/4,98/4,102/5,111/5,121/5,134/6,144/6,148/7,chased,2021,1252667
6/1,18/1,25/1,33/2,36/2,40/2,47/2,52/4,53/4,56/4,60/5,64/5,71/6,73/6,81/6,91/6,104/6,111/6,121/6,126/8,7/1,11/1,23/1,28/1,36/1,44/1,49/1,54/1,59/1,68/1,79/1,86/1,101/1,107/1,116/1,120/1,127/1,127/1,127/1,127/1,chased,2021,1252668
4/0,11/0,25/0,32/0,45/1,49/1,52/1,56/1,63/1,75/1,78/1,90/1,94/2,99/2,109/3,123/3,131/3,144/4,151/4,173/4,12/0,14/0,25/0,32/0,38/1,42/2,46/2,50/3,52/4,61/4,83/4,98/4,110/4,115/4,120/5,136/5,138/7,151/7,163/7,168/7,defend,2021,1252669
6/0,13/1,19/1,25/2,33/2,35/3,39/3,43/3,51/3,56/3,62/4,68/5,69/5,76/5,80/6,87/7,87/10,87/10,87/10,87/10,7/0,13/0,24/0,32/1,42/1,48/1,53/2,57/2,57/3,60/3,70/3,76/3,78/3,85/3,89/4,89/4,89/4,89/4,89/4,89/4,chased,2021,1252671
5/0,7/1,13/1,18/2,25/2,29/2,38/3,42/3,46/3,56/3,62/3,74/3,87/3,94/3,99/4,102/4,109/6,113/8,123/8,132/10,4/0,16/0,20/1,21/3,24/3,34/3,37/4,37/4,41/5,44/5,57/5,63/6,70/6,85/6,90/7,101/7,105/8,117/8,134/8,134/8,chased,2021,1252672
16/0,18/0,23/0,26/0,38/0,43/0,49/1,55/1,65/1,71/1,75/1,79/1,87/1,98/1,115/1,137/1,142/1,146/1,159/3,165/4,11/0,27/0,41/1,45/1,54/1,60/1,63/1,69/1,73/1,85/1,92/2,93/3,96/4,111/4,120/4,129/5,137/5,138/7,144/7,147/7,defend,2021,1252673
1/0,5/0,11/0,26/0,37/0,38/1,42/1,46/1,50/2,56/2,62/2,65/3,67/3,75/3,79/4,83/4,93/4,96/4,105/4,123/4,9/0,15/0,19/1,26/2,30/3,33/3,34/4,38/4,45/4,48/5,52/5,64/5,69/7,74/7,79/7,89/7,93/8,98/8,110/8,116/8,defend,2021,1252675
7/0,8/0,13/0,21/0,27/1,45/1,47/2,48/3,52/3,54/3,64/3,71/3,81/3,85/3,95/3,107/3,124/3,136/3,143/3,151/3,1/0,19/0,26/0,29/1,33/1,39/1,47/1,57/1,63/1,71/1,81/1,85/2,93/2,95/2,113/2,120/3,125/4,134/5,143/6,152/6,chased,2021,1252676
6/0,12/0,13/1,21/2,23/2,31/2,42/2,44/2,50/2,59/2,62/3,71/4,80/4,90/4,97/4,108/4,120/4,130/5,143/5,150/6,3/0,17/0,27/0,38/0,40/0,51/0,72/0,83/0,90/0,96/1,97/1,107/1,108/1,111/2,116/2,121/2,131/2,141/3,153/3,153/3,chased,2021,1252677
2/0,4/0,6/1,10/1,18/1,35/1,42/2,45/3,49/4,54/4,58/4,61/6,64/6,68/6,71/6,78/6,91/6,99/6,110/6,127/6,7/0,8/0,18/0,23/1,24/2,36/2,40/2,46/2,50/2,53/2,61/2,71/2,82/2,91/2,96/2,97/3,102/4,111/4,117/4,128/4,chased,2021,1252678
3/0,21/0,25/1,30/1,41/1,45/1,53/1,56/1,59/2,61/2,66/2,73/2,86/2,96/2,106/2,113/3,119/3,127/4,128/6,144/6,11/0,25/0,37/0,59/0,60/1,62/1,72/1,81/1,88/1,104/2,111/3,118/3,133/3,142/4,145/4,145/4,145/4,145/4,145/4,145/4,chased,2021,1252679
4/0,11/0,19/0,21/1,34/1,36/1,39/2,41/2,49/2,55/2,63/2,68/3,78/3,89/3,94/4,109/4,120/4,125/5,132/5,145/6,11/0,35/0,44/0,54/0,68/0,68/2,75/2,79/2,82/3,86/3,92/3,97/3,105/4,115/4,118/4,119/4,128/4,132/5,135/6,141/7,defend,2021,1252680
11/0,19/0,21/2,28/2,33/2,39/2,43/2,51/2,55/3,61/3,68/3,73/3,85/3,92/3,95/5,97/5,99/5,102/6,105/6,121/7,8/0,12/1,25/1,37/1,47/2,49/3,51/3,55/3,61/3,71/3,73/4,77/4,81/4,83/4,88/4,96/4,103/4,109/4,125/4,125/4,chased,2021,1252681
5/0,15/0,16/1,24/1,27/1,33/2,46/2,59/2,62/2,69/2,80/2,89/2,95/3,99/3,107/3,117/3,123/3,132/3,140/3,155/3,3/1,5/2,7/2,11/2,17/2,30/2,42/2,44/2,51/3,55/3,56/4,57/4,60/4,63/6,70/6,77/6,83/6,86/8,88/9,92/9,defend,2021,1252682
2/0,3/0,12/0,23/0,29/1,40/1,46/1,55/1,66/1,69/2,77/2,85/2,98/2,109/2,123/2,131/2,140/2,142/3,157/3,172/3,11/0,16/0,28/0,34/1,45/1,48/2,62/2,68/2,78/2,93/2,99/2,105/3,121/3,134/3,139/4,145/4,154/4,163/4,174/4,174/4,chased,2021,1252683
2/0,17/0,18/0,24/1,36/2,39/2,48/2,53/2,56/3,65/3,68/3,82/3,88/3,97/3,98/3,98/3,98/3,98/3,98/3,98/3,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,unknown,2021,1252684
1/0,8/0,16/1,28/2,31/2,35/2,46/2,53/2,58/3,63/3,74/3,78/3,87/3,100/3,108/3,118/3,124/3,128/4,133/6,139/8,6/0,15/0,17/1,25/1,30/1,41/1,45/1,51/2,62/2,66/3,69/3,71/4,82/4,99/4,103/4,107/4,119/4,140/4,140/4,140/4,chased,2021,1252685
2/1,11/1,17/1,24/1,33/1,35/1,47/1,51/2,60/2,69/3,71/4,75/4,77/5,80/5,91/5,99/5,109/5,116/6,123/6,128/6,9/0,14/0,24/0,36/0,39/1,44/1,53/1,54/2,59/2,66/2,74/2,79/2,89/2,101/2,107/3,109/5,113/5,121/5,131/5,131/5,chased,2021,1252686
11/0,25/0,32/0,45/1,52/2,61/3,68/3,69/4,77/4,95/4,104/5,108/6,125/6,125/6,125/6,125/6,125/6,125/6,125/6,125/6,8/1,18/1,25/1,27/2,35/2,42/4,51/4,65/4,70/5,80/6,92/6,109/6,116/8,116/8,116/8,116/8,116/8,116/8,116/8,116/8,defend,2021,1252687
7/0,17/0,18/1,29/1,35/1,39/1,49/1,60/1,86/1,103/1,109/2,114/2,128/2,132/2,140/2,148/2,158/3,160/3,167/5,184/5,7/1,13/1,17/1,30/1,41/1,44/2,53/2,55/4,57/4,65/4,75/5,86/5,89/6,90/7,91/10,91/10,91/10,91/10,91/10,91/10,defend,2021,1252688
10/1,12/1,21/1,33/1,38/1,47/1,56/1,58/2,69/2,74/2,81/2,84/4,91/4,95/4,104/4,114/4,118/5,124/6,134/6,142/6,13/0,19/1,21/2,21/3,28/3,31/3,39/3,50/3,61/3,76/3,80/3,87/3,92/4,96/4,98/4,112/4,118/4,126/5,134/6,136/9,defend,2021,1252689
11/0,11/1,19/1,32/1,40/1,52/1,56/1,64/1,70/2,72/3,78/4,82/4,84/4,93/4,103/4,119/4,126/4,133/4,138/4,144/5,13/0,20/1,26/1,31/1,45/1,53/1,57/1,66/1,72/1,76/1,82/1,94/1,102/1,106/2,115/2,130/2,142/2,147/2,147/2,147/2,chased,2021,1252690
10/0,20/0,34/1,43/1,44/2,48/2,56/3,61/3,67/3,80/3,87/3,103/3,106/4,112/4,122/4,137/4,151/4,162/4,191/4,200/5,2/0,14/0,23/0,31/1,36/2,40/2,42/2,43/3,46/4,49/4,59/5,69/5,82/5,92/6,101/6,103/7,110/8,117/8,129/8,131/10,defend,2021,1252691
9/0,20/0,29/1,35/1,41/1,43/1,56/1,65/1,68/1,72/1,90/1,95/2,102/2,109/3,113/3,121/4,134/4,152/4,161/5,166/6,5/0,20/0,20/2,27/2,36/3,49/3,57/3,59/4,68/4,75/4,86/4,96/4,100/5,111/5,121/5,124/5,128/6,135/8,143/8,150/9,defend,2021,1252692
5/0,8/0,17/0,22/0,35/0,43/0,47/0,50/1,52/2,58/2,66/2,77/2,87/2,99/2,112/4,116/4,122/5,126/7,134/7,146/7,7/0,12/2,14/2,20/3,32/3,41/3,52/3,54/4,60/4,78/4,82/4,93/4,104/4,109/5,118/5,127/6,132/6,134/7,147/8,147/8,chased,2021,1252693
5/0,11/0,20/0,29/0,43/1,49/1,56/1,70/1,72/3,75/4,75/5,79/5,87/5,98/7,108/7,112/7,117/7,124/8,127/8,135/8,7/0,17/0,24/0,28/0,33/0,39/0,46/0,53/1,66/1,74/1,77/2,82/2,93/2,102/2,106/2,112/2,115/2,124/3,136/3,136/3,chased,2021,1252694
10/0,25/0,42/0,46/2,56/2,60/3,64/3,68/4,71/4,75/4,78/5,82/6,85/6,97/6,100/7,104/7,113/7,118/7,126/7,134/7,10/0,14/1,15/2,24/2,27/2,38/3,42/3,51/3,55/3,59/3,69/4,77/4,88/4,96/4,101/4,105/4,115/4,120/4,135/4,135/4,chased,2021,1252695
1/0,17/0,33/0,39/0,65/0,68/0,73/0,82/0,86/0,88/0,96/1,104/2,106/2,115/3,121/4,124/4,133/4,136/5,139/5,143/8,7/1,16/1,25/1,40/1,59/1,63/1,74/1,78/1,94/1,108/1,112/2,120/2,123/2,133/2,147/2,147/2,147/2,147/2,147/2,147/2,chased,2021,1252696
3/0,6/0,19/0,28/0,38/0,41/1,46/1,53/1,59/1,65/1,77/1,90/1,100/1,113/1,116/2,124/2,142/2,149/2,156/3,163/5,2/2,9/2,20/3,35/3,40/3,49/3,61/3,68/3,85/3,93/3,97/3,111/3,115/4,121/4,123/5,134/5,139/6,146/7,157/7,165/7,chased,2021,1252697
6/0,15/0,18/2,24/3,31/4,36/4,39/4,42/4,52/4,57/4,60/4,64/5,73/5,82/6,83/6,87/7,88/8,96/9,96/10,96/10,12/0,18/0,28/1,42/1,50/1,57/1,60/1,69/2,71/2,81/2,85/3,85/3,88/3,97/3,97/3,97/3,97/3,97/3,97/3,97/3,chased,2021,1252698
2/0,15/0,15/1,24/1,25/1,34/1,38/2,45/2,54/2,65/2,75/2,85/2,94/3,103/4,110/4,119/4,127/4,145/4,150/5,168/5,0/1,2/1,7/1,14/2,28/2,33/2,37/2,53/2,70/3,79/3,84/4,92/4,97/4,98/5,103/5,115/5,116/5,119/5,123/5,136/5,defend,2021,1252699
4/1,6/1,11/1,16/2,21/3,28/3,33/3,41/3,44/4,49/4,55/4,58/5,62/5,76/5,78/5,80/6,86/6,90/6,99/7,107/7,8/0,11/0,25/0,32/0,42/0,49/0,52/0,63/0,68/0,72/1,82/1,96/1,101/1,109/1,109/1,109/1,109/1,109/1,109/1,109/1,chased,2022,1299171
10/0,20/0,32/1,35/1,41/1,50/1,55/2,56/3,65/3,74/3,78/3,81/3,93/3,116/3,127/4,130/4,145/4,149/5,166/5,171/6,2/1,7/1,11/3,17/4,20/4,23/4,32/4,40/4,46/4,52/4,55/4,71/4,86/5,95/5,107/5,116/6,124/7,135/7,155/7,168/7,defend,2022,1299172
2/0,16/0,25/1,30/1,37/1,42/1,52/1,62/1,65/1,76/1,85/1,96/1,100/2,105/2,108/2,110/3,120/3,132/3,153/3,161/4,8/0,14/0,29/0,35/1,45/1,48/1,60/1,67/2,79/2,85/2,88/3,94/3,100/3,104/3,114/3,127/3,132/4,150/4,162/4,162/4,chased,2022,1299173
7/0,14/0,17/1,25/1,41/1,46/1,53/1,65/1,69/2,79/2,81/3,84/4,86/4,97/4,104/4,109/5,129/5,133/5,140/6,143/7,9/1,13/1,18/1,34/1,47/1,58/1,60/1,66/2,72/2,77/2,81/2,87/2,93/2,105/2,116/2,125/2,133/2,139/2,142/4,147/4,chased,2022,1299174
