1over,2over,3over,4over,5over,6over,7over,8over,9over,10over,11over,12over,13over,14over,15over,16over,17over,18over,19over,20over,21over,22over,23over,24over,25over,26over,27over,28over,29over,30over,31over,32over,33over,34over,35over,36over,37over,38over,39over,40over,result,year
0/0,1/0,4/2,4/4,9/5,9/5,10/6,11/7,12/7,14/7,19/7,23/7,30/7,43/7,45/7,52/7,52/8,58/8,59/8,64/9,3/0,26/0,42/0,52/0,61/0,65/0,65/0,65/0,65/0,65/0,65/0,65/0,65/0,65/0,65/0,65/0,65/0,65/0,65/0,65/0,chased,2026
0/0,1/0,6/0,18/0,24/0,26/0,26/0,29/1,30/1,38/1,40/1,47/2,52/2,62/3,75/3,83/3,91/3,98/3,104/4,110/5,17/0,23/0,29/0,36/0,38/0,39/0,46/0,48/0,61/0,64/0,66/0,69/1,75/3,85/3,88/3,92/4,101/5,111/5,111/5,111/5,chased,2026
0/0,4/1,8/2,15/2,24/2,35/2,37/3,40/3,45/3,46/3,55/3,64/3,68/3,75/3,83/3,86/5,96/6,103/6,104/8,107/8,6/0,12/0,16/1,25/1,31/1,44/1,53/1,58/1,69/1,71/2,80/2,81/2,91/3,102/3,110/3,110/3,110/3,110/3,110/3,110/3,chased,2026
0/0,12/0,28/0,33/0,45/1,56/1,57/2,63/2,78/2,86/2,88/2,104/2,115/2,123/2,134/2,148/3,155/4,164/4,173/4,176/6,10/0,25/0,37/0,43/0,45/1,54/1,63/1,68/1,75/1,80/1,87/1,95/2,102/2,111/2,124/2,136/2,154/2,169/2,176/3,177/3,chased,2026
0/0,2/0,5/0,6/1,11/2,16/3,16/5,20/7,24/9,28/9,37/9,37/10,37/10,37/10,37/10,37/10,37/10,37/10,37/10,37/10,3/1,7/1,8/3,11/4,13/4,16/4,18/5,29/6,35/7,38/7,38/7,38/7,38/7,38/7,38/7,38/7,38/7,38/7,38/7,38/7,chased,2026
0/0,6/0,10/0,17/0,28/0,40/0,44/1,45/1,48/1,54/1,58/1,62/1,64/1,66/1,73/2,82/3,98/3,106/4,116/4,132/4,1/0,3/0,15/0,17/1,20/2,22/2,24/2,26/2,29/2,35/2,39/2,41/2,42/3,45/4,45/7,48/8,49/10,49/10,49/10,49/10,defend,2026
0/0,0/0,3/0,14/0,17/1,27/1,29/1,33/1,38/1,45/1,52/1,58/1,69/1,74/1,78/1,90/1,96/1,103/1,121/1,134/2,2/1,2/1,3/1,3/2,5/2,9/3,10/3,12/4,16/4,23/6,26/7,29/7,31/7,36/7,40/8,43/8,46/10,46/10,46/10,46/10,defend,2026
0/0,6/0,15/0,15/1,22/2,28/2,34/3,40/4,42/5,42/5,49/5,54/6,56/7,57/9,60/9,66/9,67/10,67/10,67/10,67/10,1/1,4/2,9/2,10/2,13/2,23/2,29/2,38/2,41/3,43/4,46/5,55/6,59/6,60/7,61/7,61/8,67/8,71/8,71/8,71/8,chased,2026
0/0,1/0,6/1,10/1,19/1,21/1,24/2,30/2,33/2,33/2,39/2,41/2,45/2,49/2,57/2,64/2,73/2,87/2,95/3,103/6,10/0,16/0,24/0,35/0,43/0,46/1,49/1,63/1,69/1,76/1,86/1,91/2,96/2,104/2,104/2,104/2,104/2,104/2,104/2,104/2,chased,2026
0/0,0/1,6/1,10/1,11/1,21/1,25/1,30/1,35/1,41/2,44/4,47/4,52/5,59/5,64/6,71/6,71/6,71/6,71/6,71/6,9/0,10/1,16/1,20/1,23/2,26/2,31/2,36/2,39/3,43/3,49/5,56/6,57/7,57/8,62/9,70/9,70/9,70/9,70/9,70/9,defend,2025
